Location,Station_Number,Depth,Time_Range,Population,Sample_Type,VP,abs_VP,VP_SE,VP_R_Squared,VP_Method
CR,1,1,T0_T3,c_Viruses,VP,190507.9365,571523.8095,19608.38566,0.959346942,LM_ALLPOINTS
CR,1,1,T0_T6,c_Viruses,VP,25812.9985,154877.991,58097.43422,0.027427545,LM_ALLPOINTS
CR,1,1,T0_T9,c_Viruses,VP,77435.33546,696918.0191,33562.98023,0.347386735,LM_ALLPOINTS
CR,1,1,T0_T12,c_Viruses,VP,89355.6606,1072267.927,21228.07009,0.576800095,LM_ALLPOINTS
CR,1,1,T0_T24,c_Viruses,VP,91052.00881,2185248.211,9758.813261,0.84474048,LM_ALLPOINTS
CR,2,1,T0_T3,c_Viruses,VP,62388.75918,187166.2775,196058.7323,0.010024547,LM_ALLPOINTS
CR,2,1,T0_T6,c_Viruses,VP,98022.8443,588137.0658,110840.8693,0.046602455,LM_ALLPOINTS
CR,2,1,T0_T9,c_Viruses,VP,91751.18257,825760.6431,76267.5658,0.061723658,LM_ALLPOINTS
CR,2,1,T0_T12,c_Viruses,VP,67961.4034,815536.8408,56032.66534,0.049916689,LM_ALLPOINTS
CR,2,1,T0_T24,c_Viruses,VP,77091.25317,1850190.076,34223.98665,0.129855794,LM_ALLPOINTS
CR,3,1,T0_T3,c_Viruses,VP,182682.0587,548046.176,28323.40863,0.91228207,LM_ALLPOINTS
CR,3,1,T0_T6,c_Viruses,VP,190721.9817,1144331.89,18184.16747,0.940173786,LM_ALLPOINTS
CR,3,1,T0_T9,c_Viruses,VP,190899.8557,1718098.701,10836.14498,0.968784827,LM_ALLPOINTS
CR,3,1,T0_T12,c_Viruses,VP,261296.8226,3135561.871,21322.93831,0.920326968,LM_ALLPOINTS
CR,3,1,T0_T24,c_Viruses,VP,72286.28512,1734870.843,29567.73155,0.271962747,LM_ALLPOINTS
CR,4,1,T0_T3,c_Viruses,VP,284571.4286,853714.2857,148711.1133,0.477930111,LM_ALLPOINTS
CR,4,1,T0_T6,c_Viruses,VP,291627.866,1749767.196,78573.41729,0.663064351,LM_ALLPOINTS
