"Timepoint","c_Viruses","Replicate","Station_Number","Sample_Type","Location","Depth"
1,2.6908551363906,1,1,"VP",1,1
1,2.66842743523875,2,1,"VP",1,1
1,2.75494012219489,3,1,"VP",1,1
1,3.29440136194736,4,1,"VPC",1,1
1,2.97918131512975,5,1,"VPC",1,1
1,3.05213958382657,6,1,"VPC",1,1
2,4.52827486301042,1,1,"VP",1,1
2,4.63919670060068,2,1,"VP",1,1
2,2.59437075007228,3,1,"VP",1,1
2,4.24558419121773,4,1,"VPC",1,1
2,4.78745465939588,5,1,"VPC",1,1
2,3.01147039004048,6,1,"VPC",1,1
3,3.61723531825681,1,1,"VP",1,1
3,3.8580075185781,2,1,"VP",1,1
3,2.75008223987003,3,1,"VP",1,1
3,3.39753005501276,4,1,"VPC",1,1
3,4.20449999659353,5,1,"VPC",1,1
3,2.72368572292807,6,1,"VPC",1,1
4,2.70089744403521,1,1,"VP",1,1
4,3.72909558604514,2,1,"VP",1,1
4,2.76567962580869,3,1,"VP",1,1
4,3.11918295861551,4,1,"VPC",1,1
4,2.4609021991679,5,1,"VPC",1,1
4,3.08623649860446,6,1,"VPC",1,1
5,2.51604228212217,1,1,"VP",1,1
5,3.60482175763888,2,1,"VP",1,1
5,2.83299904011121,3,1,"VP",1,1
5,3.96366205950793,4,1,"VPC",1,1
5,2.34734848882284,5,1,"VPC",1,1
5,3.2211593005374,6,1,"VPC",1,1
6,4.17473590705946,1,1,"VP",1,1
6,3.7137526813069,2,1,"VP",1,1
6,2.51831822265678,3,1,"VP",1,1
6,4.40908892576634,4,1,"VPC",1,1
6,3.77730255458168,5,1,"VPC",1,1
6,2.84421487657278,6,1,"VPC",1,1
1,5.00368882245091,1,2,"VP",1,1
1,2.45370402942658,2,2,"VP",1,1
1,2.83889730662003,3,2,"VP",1,1
1,2.97266472195006,4,2,"VPC",1,1
1,5.21125355721985,5,2,"VPC",1,1
1,2.65662295285097,6,2,"VPC",1,1
