"file_name","pop","count"
vi201102.001.1,root,4320
vi201102.001.1,Bacteria,61
vi201102.001.1,HNA_Bacteria,33
vi201102.001.1,LNA_Bacteria,28
vi201102.001.1,Viruses,2802
vi201102.001.1,V1,2723
vi201102.001.1,V2,24
vi201102.001.1,V3,0
vi201102.002.1,root,95715
vi201102.002.1,Bacteria,150
vi201102.002.1,HNA_Bacteria,52
vi201102.002.1,LNA_Bacteria,98
vi201102.002.1,Viruses,2754
vi201102.002.1,V1,1110
vi201102.002.1,V2,19
vi201102.002.1,V3,0
vi201102.003.1,root,1950
vi201102.003.1,Bacteria,18
vi201102.003.1,HNA_Bacteria,10
vi201102.003.1,LNA_Bacteria,8
vi201102.003.1,Viruses,1127
vi201102.003.1,V1,1095
vi201102.003.1,V2,10
vi201102.003.1,V3,0
vi201102.004.1,root,1680
vi201102.004.1,Bacteria,18
vi201102.004.1,HNA_Bacteria,11
vi201102.004.1,LNA_Bacteria,7
vi201102.004.1,Viruses,786
vi201102.004.1,V1,770
vi201102.004.1,V2,1
vi201102.004.1,V3,0
vi201102.005.1,root,1215
vi201102.005.1,Bacteria,14
vi201102.005.1,HNA_Bacteria,3
vi201102.005.1,LNA_Bacteria,11
vi201102.005.1,Viruses,682
vi201102.005.1,V1,658
vi201102.005.1,V2,7
vi201102.005.1,V3,1
vi201102.006.1,root,1275
vi201102.006.1,Bacteria,17
vi201102.006.1,HNA_Bacteria,8
vi201102.006.1,LNA_Bacteria,9
vi201102.006.1,Viruses,693
vi201102.006.1,V1,672
vi201102.006.1,V2,12
vi201102.006.1,V3,0
vi201102.021.1,root,34710
vi201102.021.1,Bacteria,22
vi201102.021.1,HNA_Bacteria,8
vi201102.021.1,LNA_Bacteria,14
vi201102.021.1,Viruses,33567
vi201102.021.1,V1,27843
vi201102.021.1,V2,4767
vi201102.021.1,V3,865
vi201102.022.1,root,30705
vi201102.022.1,Bacteria,16
vi201102.022.1,HNA_Bacteria,2
vi201102.022.1,LNA_Bacteria,14
vi201102.022.1,Viruses,29828
vi201102.022.1,V1,24756
vi201102.022.1,V2,4243
vi201102.022.1,V3,718
vi201102.023.1,root,33105
vi201102.023.1,Bacteria,16
vi201102.023.1,HNA_Bacteria,7
vi201102.023.1,LNA_Bacteria,9
vi201102.023.1,Viruses,32488
vi201102.023.1,V1,26685
vi201102.023.1,V2,4819
vi201102.023.1,V3,903
vi201102.024.1,root,28110
vi201102.024.1,Bacteria,18
vi201102.024.1,HNA_Bacteria,7
vi201102.024.1,LNA_Bacteria,11
vi201102.024.1,Viruses,27335
vi201102.024.1,V1,22704
vi201102.024.1,V2,3812
vi201102.024.1,V3,726
vi201102.025.1,root,27195
vi201102.025.1,Bacteria,21
vi201102.025.1,HNA_Bacteria,5
vi201102.025.1,LNA_Bacteria,16
vi201102.025.1,Viruses,26491
vi201102.025.1,V1,22022
vi201102.025.1,V2,3671
vi201102.025.1,V3,689
vi201102.026.1,root,28455
vi201102.026.1,Bacteria,14
vi201102.026.1,HNA_Bacteria,4
vi201102.026.1,LNA_Bacteria,10
vi201102.026.1,Viruses,27867
vi201102.026.1,V1,23432
vi201102.026.1,V2,3665
vi201102.026.1,V3,683
vi201102.027.1,root,1290
vi201102.027.1,Bacteria,16
vi201102.027.1,HNA_Bacteria,5
vi201102.027.1,LNA_Bacteria,11
vi201102.027.1,Viruses,648
vi201102.027.1,V1,623
vi201102.027.1,V2,13
vi201102.027.1,V3,0
vi201102.028.1,root,1080
vi201102.028.1,Bacteria,15
vi201102.028.1,HNA_Bacteria,4
vi201102.028.1,LNA_Bacteria,11
vi201102.028.1,Viruses,631
vi201102.028.1,V1,609
vi201102.028.1,V2,11
vi201102.028.1,V3,1
vi201102.029.1,root,97530
vi201102.029.1,Bacteria,224
vi201102.029.1,HNA_Bacteria,63
vi201102.029.1,LNA_Bacteria,161
vi201102.029.1,Viruses,1370
vi201102.029.1,V1,695
vi201102.029.1,V2,21
vi201102.029.1,V3,0
vi201102.030.1,root,1140
vi201102.030.1,Bacteria,12
vi201102.030.1,HNA_Bacteria,4
vi201102.030.1,LNA_Bacteria,8
vi201102.030.1,Viruses,843
vi201102.030.1,V1,816
vi201102.030.1,V2,17
vi201102.030.1,V3,1
vi201102.031.1,root,1170
vi201102.031.1,Bacteria,16
vi201102.031.1,HNA_Bacteria,7
vi201102.031.1,LNA_Bacteria,9
vi201102.031.1,Viruses,611
vi201102.031.1,V1,588
vi201102.031.1,V2,15
vi201102.031.1,V3,0
vi201102.032.1,root,1485
vi201102.032.1,Bacteria,74
vi201102.032.1,HNA_Bacteria,69
vi201102.032.1,LNA_Bacteria,5
vi201102.032.1,Viruses,540
vi201102.032.1,V1,517
vi201102.032.1,V2,5
vi201102.032.1,V3,0
vi201102.033.1,root,915
vi201102.033.1,Bacteria,9
vi201102.033.1,HNA_Bacteria,4
vi201102.033.1,LNA_Bacteria,5
vi201102.033.1,Viruses,579
vi201102.033.1,V1,562
vi201102.033.1,V2,11
vi201102.033.1,V3,0
vi201102.036.1,root,23865
vi201102.036.1,Bacteria,3029
vi201102.036.1,HNA_Bacteria,1831
vi201102.036.1,LNA_Bacteria,1198
vi201102.036.1,Viruses,19009
vi201102.036.1,V1,14795
vi201102.036.1,V2,2569
vi201102.036.1,V3,1198
vi201102.037.1,root,22740
vi201102.037.1,Bacteria,2894
vi201102.037.1,HNA_Bacteria,1740
vi201102.037.1,LNA_Bacteria,1154
vi201102.037.1,Viruses,17955
vi201102.037.1,V1,13771
vi201102.037.1,V2,2529
vi201102.037.1,V3,1298
vi201102.038.1,root,23310
vi201102.038.1,Bacteria,3039
vi201102.038.1,HNA_Bacteria,1809
vi201102.038.1,LNA_Bacteria,1230
vi201102.038.1,Viruses,18512
vi201102.038.1,V1,14178
vi201102.038.1,V2,2509
vi201102.038.1,V3,1472
vi201102.039.1,root,23640
vi201102.039.1,Bacteria,3171
vi201102.039.1,HNA_Bacteria,1978
vi201102.039.1,LNA_Bacteria,1193
vi201102.039.1,Viruses,18331
vi201102.039.1,V1,14199
vi201102.039.1,V2,2374
vi201102.039.1,V3,1346
vi201102.040.1,root,23145
vi201102.040.1,Bacteria,3196
vi201102.040.1,HNA_Bacteria,1924
vi201102.040.1,LNA_Bacteria,1272
vi201102.040.1,Viruses,18164
vi201102.040.1,V1,13674
vi201102.040.1,V2,2690
vi201102.040.1,V3,1452
vi201102.041.1,root,22350
vi201102.041.1,Bacteria,3171
vi201102.041.1,HNA_Bacteria,1910
vi201102.041.1,LNA_Bacteria,1261
vi201102.041.1,Viruses,17546
vi201102.041.1,V1,13304
