"Location","Station_Number","Depth","Time_Range","Population","Sample_Type","VP","abs_VP","VP_SE","VP_R_Squared","VP_Method"
"NJ2020",1,1,"T0_T24","c_Viruses","VP",70968.1323114163,1703235.17547399,22908.5306190577,0.374925016617397,"LM_ALLPOINTS"
"NJ2020",2,1,"T0_T24","c_Viruses","VP",2899833.3608847,69596000.6612329,458625.479629836,0.714177496698445,"LM_ALLPOINTS"
"NJ2020",3,1,"T0_T24","c_Viruses","VP",361534.47050462,8676827.29211087,109150.180111402,0.406772620805605,"LM_ALLPOINTS"
"NJ2020",4,1,"T0_T24","c_Viruses","VP",891115.849324805,21386780.3837953,189289.535051852,0.580738225178,"LM_ALLPOINTS"
"NJ2020",5,1,"T0_T24","c_Viruses","VP",31821.250888415,763710.021321959,64504.1194375832,0.01498247522058,"LM_ALLPOINTS"
"NJ2020",6,1,"T0_T24","c_Viruses","VP",-134616.204690832,-3230788.91257997,127764.961337584,0.0648810715281651,"LM_ALLPOINTS"
"NJ2020",7,1,"T0_T24","c_Viruses","VP",-47886.9936034115,-1149287.84648188,26542.4284093636,0.169047920223343,"LM_ALLPOINTS"
"NJ2020",1,1,"T0_T24","c_Viruses","VP",70968.1323114164,1703235.17547399,20740.5230724078,0.467933202891888,"LM_SR_AVG"
"NJ2020",2,1,"T0_T24","c_Viruses","VP",2899833.3608847,69596000.6612329,693868.810185819,0.851409029981695,"LM_SR_AVG"
"NJ2020",3,1,"T0_T24","c_Viruses","VP",361534.47050462,8676827.29211088,80380.0254784755,0.410515296085975,"LM_SR_AVG"
"NJ2020",4,1,"T0_T24","c_Viruses","VP",891115.849324805,21386780.3837953,71304.4170054324,0.587851355049236,"LM_SR_AVG"
"NJ2020",5,1,"T0_T24","c_Viruses","VP",31821.2508884144,763710.021321944,34272.775865412,0.0387772081862484,"LM_SR_AVG"
"NJ2020",6,1,"T0_T24","c_Viruses","VP",-134616.204690832,-3230788.91257997,44048.900009556,0.328439695284283,"LM_SR_AVG"
"NJ2020",7,1,"T0_T24","c_Viruses","VP",-47886.9936034115,-1149287.84648188,19689.9658835335,0.229242345983174,"LM_SR_AVG"
"NJ2020",1,1,"T0_T24","c_Viruses","VP",70968.1323114163,1703235.17547399,23748.5538963442,0.690642387251248,"LM_AR"
"NJ2020",2,1,"T0_T24","c_Viruses","VP",2899833.36088471,69596000.6612329,592213.789732391,0.857023779823666,"LM_AR"
"NJ2020",3,1,"T0_T24","c_Viruses","VP",361534.470504619,8676827.29211086,202345.570780878,0.443854401618645,"LM_AR"
