"Location","Station_Number","Depth","Time_Range","Population","Sample_Type","VP","abs_VP","VP_SE","VP_R_Squared","VP_Method"
"NJ2020",1,1,"T0_T3","c_Viruses","VP",-79829.4243070371,-239488.272921111,61864.2605925201,0.2939253144701,"LM_ALLPOINTS"
"NJ2020",1,1,"T0_T6","c_Viruses","VP",-164548.685145701,-987292.110874203,46757.767174212,0.6388882411896,"LM_ALLPOINTS"
"NJ2020",1,1,"T0_T17","c_Viruses","VP",57873.7481424045,983853.718420876,28041.8489523133,0.298708945078537,"LM_ALLPOINTS"
"NJ2020",1,1,"T0_T20","c_Viruses","VP",62269.7873017706,1245395.74603541,20123.5185890273,0.424146329573335,"LM_ALLPOINTS"
"NJ2020",1,1,"T0_T24","c_Viruses","VP",70968.1323114163,1703235.17547399,22908.5306190577,0.374925016617397,"LM_ALLPOINTS"
"NJ2020",2,1,"T0_T3","c_Viruses","VP",-864818.763326237,-2594456.28997871,50303.3634453806,0.986647400927054,"LM_ALLPOINTS"
"NJ2020",2,1,"T0_T6","c_Viruses","VP",-800817.341862121,-4804904.05117273,70874.2880070433,0.948021163712858,"LM_ALLPOINTS"
"NJ2020",2,1,"T0_T17.5","c_Viruses","VP",1551505.77346535,27151351.0356436,313474.817258472,0.710114304799916,"LM_ALLPOINTS"
"NJ2020",2,1,"T0_T20.5","c_Viruses","VP",2223299.65924957,45577643.0146163,395260.813588968,0.708777563356207,"LM_ALLPOINTS"
"NJ2020",2,1,"T0_T24","c_Viruses","VP",2899833.3608847,69596000.6612329,458625.479629836,0.714177496698445,"LM_ALLPOINTS"
"NJ2020",3,1,"T0_T3","c_Viruses","VP",517242.359630399,1551727.0788912,450865.477466772,0.247570985532292,"LM_ALLPOINTS"
"NJ2020",3,1,"T0_T6","c_Viruses","VP",-138606.965174133,-831641.791044795,270738.634256899,0.0360916986281581,"LM_ALLPOINTS"
"NJ2020",3,1,"T0_T9","c_Viruses","VP",-178968.017057574,-1610712.15351816,145941.461308346,0.130722909515151,"LM_ALLPOINTS"
"NJ2020",3,1,"T0_T12","c_Viruses","VP",-313606.254442078,-3763275.05330493,100112.366726303,0.430145059724029,"LM_ALLPOINTS"
"NJ2020",3,1,"T0_T24","c_Viruses","VP",361534.47050462,8676827.29211087,109150.180111402,0.406772620805605,"LM_ALLPOINTS"
"NJ2020",4,1,"T0_T3","c_Viruses","VP",423312.011371712,1269936.03411513,120394.23386477,0.755540069211468,"LM_ALLPOINTS"
