"Location","Station_Number","Depth","Time_Range","Population","Sample_Type","VP","abs_VP","VP_SE","VP_R_Squared","VP_Method","B_0","B_OS","V_OS","c_VP","c_abs_VP","c_VP_SE","P_Cells_BS_10","Rate_BS_10","P_BP_Lysed_BS_10","P_B_Loss_BS_10","P_Cells_BS_25","Rate_BS_25","P_BP_Lysed_BS_25","P_B_Loss_BS_25","P_Cells_BS_40","Rate_BS_40","P_BP_Lysed_BS_40","P_B_Loss_BS_40","V_TT","DOC_V","DON_V","DOP_V","DOC_B_BS_10","Total_DOC_BS_10","DON_B_BS_10","Total_DON_BS_10","DOP_B_BS_10","Total_DOP_BS_10","DOC_B_BS_25","Total_DOC_BS_25","DON_B_BS_25","Total_DON_BS_25","DOP_B_BS_25","Total_DOP_BS_25","DOC_B_BS_40","Total_DOC_BS_40","DON_B_BS_40","Total_DON_BS_40","DOP_B_BS_40","Total_DOP_BS_40"
"NJ2020",1,1,"T0_T3","c_Viruses","VP",-79829.4243070371,-239488.272921111,61864.2605925201,0.2939253144701,"LM_ALLPOINTS",1507462.68656716,3454942.339,182285832,-182960.454274627,-548881.362823881,141786.231325404,-3.64109418902971,-18296.0454274627,-6.77631312128249,-12.7094766619521,-1.45643767561188,-7318.41817098509,-2.710525248513,-5.08379066478082,-0.910273547257427,-4574.01135686568,-1.69407828032062,-3.17736916548801,-0.00100370090350537,-6.07396810728838e-12,-2.39666728322171e-12,-8.69683518486419e-13,-3.47624863121792e-10,-3.5369883122908e-10,-9.14802271373136e-11,-9.38768944205353e-11,-1.46368363419702e-11,-1.55065198604566e-11,-1.39049945248717e-10,-1.45123913356005e-10,-3.65920908549255e-11,-3.89887581381472e-11,-5.85473453678807e-12,-6.72441805527449e-12,-8.6906215780448e-11,-9.29801838877363e-11,-2.28700567843284e-11,-2.52667240675501e-11,-3.65920908549255e-12,-4.52889260397896e-12
"NJ2020",1,1,"T0_T6","c_Viruses","VP",-164548.685145701,-987292.110874203,46757.767174212,0.6388882411896,"LM_ALLPOINTS",1507462.68656716,3454942.339,182285832,-377127.887942143,-2262767.32765285,107163.773224242,-15.0104367279942,-37712.7887942143,-13.9676995534127,-26.1974540311176,-6.00417469119767,-15085.1155176857,-5.58707982136508,-10.478981612447,-3.75260918199854,-9428.19719855357,-3.49192488835317,-6.54936350777939,-0.00206888206178384,-1.25199883920887e-11,-4.94013897268062e-12,-1.79263824964365e-12,-7.16542987090071e-10,-7.2906297548216e-10,-1.88563943971071e-10,-1.93504082943752e-10,-3.01702310353714e-11,-3.19628692850151e-11,-2.86617194836029e-10,-2.99137183228117e-10,-7.54255775884286e-11,-8.03657165611092e-11,-1.20680924141486e-11,-1.38607306637922e-11,-1.79135746772518e-10,-1.91655735164606e-10,-4.71409859927679e-11,-5.20811249654485e-11,-7.54255775884286e-12,-9.33519600848651e-12
"NJ2020",1,1,"T0_T17","c_Viruses","VP",57873.7481424045,983853.718420876,28041.8489523133,0.298708945078537,"LM_ALLPOINTS",1507462.68656716,3454942.339,182285832,132640.405998472,2254886.90197402,64268.9016932251,14.9581606368574,13264.0405998472,4.91260762957304,9.21395911019668,5.98326425474296,5305.61623993888,1.96504305182922,3.68558364407867,3.73954015921435,3316.0101499618,1.22815190739326,2.30348977754917,0.000727650660192132,4.40343023286988e-12,1.73750618815482e-12,6.30492394870576e-13,2.52016771397097e-10,2.56420201629967e-10,6.6320202999236e-11,6.80577091873908e-11,1.06112324798778e-11,1.12417248747483e-11,1.00806708558839e-10,1.05210138791709e-10,2.65280811996944e-11,2.82655873878492e-11,4.24449299195110e-12,4.87498538682168e-12,6.30041928492742e-11,6.74076230821441e-11,1.6580050749809e-11,1.83175569379638e-11,2.65280811996944e-12,3.28330051484002e-12
"NJ2020",1,1,"T0_T20","c_Viruses","VP",62269.7873017706,1245395.74603541,20123.5185890273,0.424146329573335,"LM_ALLPOINTS",1507462.68656716,3454942.339,182285832,142715.65492565,2854313.09851299,46120.9401747844,18.9345522376604,14271.565492565,5.28576499724628,9.91384336447992,7.57382089506417,5708.62619702598,2.11430599889851,3.96553734579197,4.7336380594151,3567.89137314124,1.32144124931157,2.47846084111998,0.000782922366262944,4.73791093198757e-12,1.86948563458665e-12,6.78384044305716e-13,2.71159744358734e-10,2.75897655290722e-10,7.13578274628248e-11,7.32273130974114e-11,1.1417252394052e-11,1.20956364383577e-11,1.08463897743494e-10,1.13201808675481e-10,2.85431309851299e-11,3.04126166197166e-11,4.56690095762078e-12,5.2452850019265e-12,6.77899360896835e-11,7.25278470216711e-11,1.78394568657062e-11,1.97089425002928e-11,2.85431309851299e-12,3.53269714281871e-12
"NJ2020",1,1,"T0_T24","c_Viruses","VP",70968.1323114163,1703235.17547399,22908.5306190577,0.374925016617397,"LM_ALLPOINTS",1507462.68656716,3454942.339,182285832,162651.32611728,3903631.82681471,52503.888199248,25.8953794452065,16265.132611728,6.02412318952887,11.2986887877978,10.3581517780826,6506.05304469118,2.40964927581155,4.51947551511911,6.47384486130162,4066.28315293199,1.50603079738222,2.82467219694944,0.000892287262990793,5.3997404595509e-12,2.13063043280806e-12,7.73146186945026e-13,3.09037519622831e-10,3.14437260082382e-10,8.13256630586398e-11,8.34562934914479e-11,1.30121060893824e-11,1.37852522763274e-11,1.23615007849132e-10,1.29014748308683e-10,3.25302652234559e-11,3.4660895656264e-11,5.20484243575295e-12,5.97798862269797e-12,7.72593799057078e-11,8.26591203652587e-11,2.03314157646599e-11,2.2462046197468e-11,3.25302652234559e-12,4.02617270929062e-12
"NJ2020",2,1,"T0_T3","c_Viruses","VP",-864818.763326237,-2594456.28997871,50303.3634453806,0.986647400927054,"LM_ALLPOINTS",856929.637526652,3231054.366,204686985.2,-3260800.32557755,-9782400.97673264,189668.900417307,-114.156408511759,-326080.032557755,-120.770382428798,-242.209504851956,-45.6625634047037,-130432.013023102,-48.3081529715192,-96.8838019407825,-28.5391021279399,-81520.0081394387,-30.1925956071995,-60.5523762129891,-0.0159306676112866,-1.08252885905412e-10,-4.27144406063829e-11,-1.54998757052344e-11,-6.19552061859734e-09,-6.30377350450276e-09,-1.63040016278877e-09,-1.67311460339516e-09,-2.60864026046204e-10,-2.76363901751438e-10,-2.47820824743894e-09,-2.58646113334435e-09,-6.5216006511551e-10,-6.94874505721893e-10,-1.04345610418482e-10,-1.19845486123716e-10,-1.54888015464934e-09,-1.65713304055475e-09,-4.07600040697194e-10,-4.50314481303577e-10,-6.5216006511551e-11,-8.07158822167854e-11
"NJ2020",2,1,"T0_T6","c_Viruses","VP",-800817.341862121,-4804904.05117273,70874.2880070433,0.948021163712858,"LM_ALLPOINTS",856929.637526652,3231054.366,204686985.2,-3019482.87873477,-18116897.2724086,267231.599508281,-211.416392653885,-301948.287873477,-111.832699212399,-224.28464792237,-84.5665570615541,-120779.315149391,-44.7330796849596,-89.7138591689478,-52.8540981634714,-75487.0719683693,-27.9581748030997,-56.0711619805924,-0.0147517091806518,-1.0024156738488e-10,-3.95533332949059e-11,-1.43527982830972e-11,-5.73701746959607e-09,-5.83725903698095e-09,-1.50974143936739e-09,-1.54929477266229e-09,-2.41558630298782e-10,-2.55911428581879e-10,-2.29480698783843e-09,-2.39504855522331e-09,-6.03896575746954e-10,-6.4344990904186e-10,-9.66234521195127e-11,-1.1097625040261e-10,-1.43425436739902e-09,-1.5344959347839e-09,-3.77435359841846e-10,-4.16988693136752e-10,-6.03896575746954e-11,-7.47424558577926e-11
"NJ2020",2,1,"T0_T17.5","c_Viruses","VP",1551505.77346535,27151351.0356436,313474.817258472,0.710114304799916,"LM_ALLPOINTS",856929.637526652,3231054.366,204686985.2,5849954.63302961,102374206.078018,1181957.2256334,1194.66291740708,584995.463302961,216.664986408504,434.529708537596,477.865166962832,233998.185321184,86.6659945634017,173.811883415038,298.66572935177,146248.86582574,54.166246602126,108.632427134399,0.0285800029118295,1.94208294961767e-10,7.66307393195933e-11,2.78071518154547e-11,1.11149138027563e-08,1.1309122097718e-08,2.92497731651481e-09,3.0016080558344e-09,4.67996370642369e-10,4.95803522457824e-10,4.4459655211025e-09,4.64017381606427e-09,1.16999092660592e-09,1.24662166592552e-09,1.87198548256948e-10,2.15005700072402e-10,2.77872845068907e-09,2.97293674565083e-09,7.31244329128702e-10,8.07875068448295e-10,1.16999092660592e-10,1.44806244476047e-10
"NJ2020",2,1,"T0_T20.5","c_Viruses","VP",2223299.65924957,45577643.0146163,395260.813588968,0.708777563356207,"LM_ALLPOINTS",856929.637526652,3231054.366,204686985.2,8382954.39480725,171850565.093549,1490331.43624423,2005.42212064878,838295.439480725,310.479792400269,622.678799813714,802.168848259513,335318.17579229,124.191916960107,249.071519925486,501.355530162196,209573.859870181,77.6199481000671,155.669699953429,0.0409549947038218,2.78299471001988e-10,1.09811448678505e-10,3.98475031246039e-11,1.59276133501338e-08,1.62059128211358e-08,4.19147719740363e-09,4.30128864608213e-09,6.7063635158458e-10,7.10483854709184e-10,6.37104534005351e-09,6.6493448110555e-09,1.67659087896145e-09,1.78640232763996e-09,2.68254540633832e-10,3.08102043758436e-10,3.98190333753344e-09,4.26020280853543e-09,1.04786929935091e-09,1.15768074802941e-09,1.67659087896145e-10,2.07506591020749e-10
"NJ2020",2,1,"T0_T24","c_Viruses","VP",2899833.3608847,69596000.6612329,458625.479629836,0.714177496698445,"LM_ALLPOINTS",856929.637526652,3231054.366,204686985.2,10933825.6387095,262411815.329029,1729247.99589597,3062.23292832333,1093382.56387095,404.956505137389,812.155369746658,1224.89317132933,437353.025548381,161.982602054956,324.862147898663,765.558232080832,273345.640967738,101.239126284347,203.038842436665,0.0534172977731147,3.6298394909147e-10,1.4322626325256e-10,5.19728046680337e-11,2.07742687135481e-08,2.11372526626395e-08,5.46691281935476e-09,5.61013908260732e-09,8.74706051096761e-10,9.26678855764795e-10,8.30970748541923e-09,8.6726914345107e-09,2.1867651277419e-09,2.32999139099446e-09,3.49882420438705e-10,4.01855225106738e-10,5.19356717838702e-09,5.55655112747849e-09,1.36672820483869e-09,1.50995446809125e-09,2.1867651277419e-10,2.70649317442224e-10
