"Location","Station_Number","Depth","Time_Range","Population","Sample_Type","VP","abs_VP","VP_SE","VP_R_Squared","VP_Method"
"NJ2020",1,1,"T0_T17","c_Viruses","VP",57873.7481424045,983853.718420876,28041.8489523133,0.298708945078537,"LM_ALLPOINTS"
"NJ2020",1,1,"T0_T17","c_Viruses","VP",57873.7481424046,983853.718420879,1607.02330206019,0.37709417585295,"LM_SR_AVG"
"NJ2020",1,1,"T0_T17","c_Viruses","VP",57873.7481424047,983853.71842088,56208.3561341167,0.346434207929325,"LM_AR"
"NJ2020",1,1,"T0_T17","c_Viruses","VP",57873.7481424047,983853.71842088,56208.3561341167,0.346434207929325,"LM_AR_DIFF"
"NJ2020",1,1,"T0_T17","c_Viruses","VP",57873.7481424046,983853.718420878,56208.3561341168,0.346434207929323,"LM_AR_DIFF_LMER"
"NJ2020",1,1,"T0_T17","c_Viruses","VP",144937.649415261,1807078.89125799,33392.0074308812,NA,"VPCL_SR_AVG"
"NJ2020",1,1,"T0_T17","c_Viruses","VP",160899.399108354,1769893.3901919,NA,NA,"VPCL_AR"
"NJ2020",1,1,"T0_T17","c_Viruses","VP",160899.399108354,1769893.3901919,35629.3314218457,NA,"VPCL_AR_SE"
"NJ2020",1,1,"T0_T17","c_Viruses","VP",160899.399108354,1769893.3901919,NA,NA,"VPCL_AR_DIFF"
"NJ2020",1,1,"T0_T17","c_Viruses","VP",160899.399108354,1769893.3901919,35629.3314218457,NA,"VPCL_AR_DIFF_SE"
"NJ2020",1,1,"T0_T17","c_Viruses","VP",160899.399108354,1769893.3901919,NA,NA,"VPCL_AR_DIFF_LMER"
"NJ2020",1,1,"T0_T17","c_Viruses","VP",160899.399108354,1769893.3901919,45566.891855158,NA,"VPCL_AR_DIFF_LMER_SE"
"NJ2020",2,1,"T0_T6","c_Viruses","VP",-800817.341862121,-4804904.05117273,70874.2880070433,0.948021163712858,"LM_ALLPOINTS"
"NJ2020",2,1,"T0_T6","c_Viruses","VP",-800817.341862124,-4804904.05117275,104041.365696891,0.984056266436619,"LM_SR_AVG"
"NJ2020",2,1,"T0_T6","c_Viruses","VP",-800817.341862124,-4804904.05117274,36951.2379108245,0.997875447911523,"LM_AR"
"NJ2020",2,1,"T0_T6","c_Viruses","VP",-800817.341862124,-4804904.05117274,36951.2379108245,0.997875447911523,"LM_AR_DIFF"
"NJ2020",2,1,"T0_T6","c_Viruses","VP",-800817.341862114,-4804904.05117268,36951.2379108174,0.997875447911524,"LM_AR_DIFF_LMER"
"NJ2020",2,1,"T0_T6","c_Viruses","VP",0,0,0,NA,"VPCL_SR_AVG"
"NJ2020",2,1,"T0_T6","c_Viruses","VP",0,0,NA,NA,"VPCL_AR"
"NJ2020",2,1,"T0_T6","c_Viruses","VP",0,0,0,NA,"VPCL_AR_SE"
"NJ2020",2,1,"T0_T6","c_Viruses","VP",0,0,NA,NA,"VPCL_AR_DIFF"
"NJ2020",2,1,"T0_T6","c_Viruses","VP",0,0,0,NA,"VPCL_AR_DIFF_SE"
"NJ2020",2,1,"T0_T6","c_Viruses","VP",0,0,NA,NA,"VPCL_AR_DIFF_LMER"
"NJ2020",2,1,"T0_T6","c_Viruses","VP",0,0,0,NA,"VPCL_AR_DIFF_LMER_SE"
"NJ2020",3,1,"T0_T12","c_Viruses","VP",-313606.254442078,-3763275.05330493,100112.366726303,0.430145059724029,"LM_ALLPOINTS"
"NJ2020",3,1,"T0_T12","c_Viruses","VP",-313606.254442078,-3763275.05330493,104398.44890698,0.458938473380106,"LM_SR_AVG"
"NJ2020",3,1,"T0_T12","c_Viruses","VP",-313606.254442078,-3763275.05330493,125626.893253381,0.67503158232034,"LM_AR"
"NJ2020",3,1,"T0_T12","c_Viruses","VP",-313606.254442078,-3763275.05330493,125626.893253381,0.67503158232034,"LM_AR_DIFF"
"NJ2020",3,1,"T0_T12","c_Viruses","VP",-313606.254442074,-3763275.05330488,125626.893253384,0.675031582320326,"LM_AR_DIFF_LMER"
"NJ2020",3,1,"T0_T12","c_Viruses","VP",488784.648187616,2327334.75479737,72708.7936882392,NA,"VPCL_SR_AVG"
"NJ2020",3,1,"T0_T12","c_Viruses","VP",517242.3596304,1551727.0788912,NA,NA,"VPCL_AR"
"NJ2020",3,1,"T0_T12","c_Viruses","VP",0,0,0,NA,"VPCL_AR_SE"
"NJ2020",3,1,"T0_T12","c_Viruses","VP",517242.3596304,1551727.0788912,NA,NA,"VPCL_AR_DIFF"
"NJ2020",3,1,"T0_T12","c_Viruses","VP",0,0,0,NA,"VPCL_AR_DIFF_SE"
"NJ2020",3,1,"T0_T12","c_Viruses","VP",517242.359630423,1551727.07889127,NA,NA,"VPCL_AR_DIFF_LMER"
