"Location","Station_Number","Depth","Time_Range","Population","Sample_Type","VP","abs_VP","VP_SE","VP_R_Squared","VP_Method","Replicate"
"NJ2020",1,1,"T0_T3","c_Viruses","VP",-109680.170575693,-329040.511727078,NA,1,"LM_SR","1"
"NJ2020",1,1,"T0_T6","c_Viruses","VP",-147121.535181238,-882729.211087426,21616.781933837,0.978867375265309,"LM_SR","1"
"NJ2020",1,1,"T0_T17","c_Viruses","VP",57947.6642760222,985110.292692377,50992.007328842,0.392359608651424,"LM_SR","1"
"NJ2020",1,1,"T0_T20","c_Viruses","VP",36849.6184274434,736992.368548868,32987.6701503698,0.293760525913227,"LM_SR","1"
"NJ2020",1,1,"T0_T24","c_Viruses","VP",105664.72656025,2535953.43744599,50298.7411488487,0.524552184632784,"LM_SR","1"
"NJ2020",1,1,"T0_T3","c_Viruses","VP",37185.5010660973,111556.503198292,NA,1,"LM_SR","2"
"NJ2020",1,1,"T0_T6","c_Viruses","VP",-82729.2110874221,-496375.266524533,69232.7913416303,0.588119351537325,"LM_SR","2"
"NJ2020",1,1,"T0_T17","c_Viruses","VP",60619.4999030817,1030531.49835239,38981.2671193379,0.547338704857235,"LM_SR","2"
"NJ2020",1,1,"T0_T20","c_Viruses","VP",91894.1969688253,1837883.93937651,30112.6838216107,0.756349828318596,"LM_SR","2"
"NJ2020",1,1,"T0_T24","c_Viruses","VP",73307.8430242615,1759388.23258227,23989.6088936705,0.700105290810767,"LM_SR","2"
"NJ2020",1,1,"T0_T3","c_Viruses","VP",-166993.603411513,-500980.81023454,NA,1,"LM_SR","3"
"NJ2020",1,1,"T0_T6","c_Viruses","VP",-263795.309168444,-1582771.85501067,55888.4908767778,0.957042229849823,"LM_SR","3"
"NJ2020",1,1,"T0_T17","c_Viruses","VP",55054.0802481099,935919.364217869,79967.228696622,0.19158421405019,"LM_SR","3"
"NJ2020",1,1,"T0_T20","c_Viruses","VP",58065.5465090432,1161310.93018086,47609.7462056558,0.331470367855994,"LM_SR","3"
"NJ2020",1,1,"T0_T24","c_Viruses","VP",33931.8273497376,814363.856393703,36317.2005667962,0.179142133232114,"LM_SR","3"
"NJ2020",2,1,"T0_T3","c_Viruses","VP",-806396.588486162,-2419189.76545849,NA,1,"LM_SR","1"
"NJ2020",2,1,"T0_T6","c_Viruses","VP",-592857.142857151,-3557142.8571429,123287.056416516,0.958547704521255,"LM_SR","1"
"NJ2020",2,1,"T0_T17.5","c_Viruses","VP",2178945.18867774,38131540.8018605,662781.10767675,0.843849729530624,"LM_SR","1"
"NJ2020",2,1,"T0_T20.5","c_Viruses","VP",3181782.04260124,65226531.8733255,733797.063121701,0.862393809843984,"LM_SR","1"
"NJ2020",2,1,"T0_T24","c_Viruses","VP",4038518.71205265,96924449.0892636,776552.097726069,0.87115891534344,"LM_SR","1"
"NJ2020",2,1,"T0_T3","c_Viruses","VP",-988059.701492534,-2964179.1044776,NA,1,"LM_SR","2"
"NJ2020",2,1,"T0_T6","c_Viruses","VP",-910980.810234552,-5465884.86140732,44501.5186166361,0.997619347160375,"LM_SR","2"
"NJ2020",2,1,"T0_T17.5","c_Viruses","VP",993302.127872606,17382787.2377706,455051.456898556,0.704350518854687,"LM_SR","2"
"NJ2020",2,1,"T0_T20.5","c_Viruses","VP",1232044.05633344,25256903.1548354,308601.338286556,0.841595414440389,"LM_SR","2"
"NJ2020",2,1,"T0_T24","c_Viruses","VP",1643534.69651928,39444832.7164627,353535.215944475,0.843822429042844,"LM_SR","2"
"NJ2020",2,1,"T0_T3","c_Viruses","VP",-800000.000000003,-2400000.00000001,NA,1,"LM_SR","3"
"NJ2020",2,1,"T0_T6","c_Viruses","VP",-898614.072494669,-5391684.43496802,56934.8613006792,0.996001747628227,"LM_SR","3"
"NJ2020",2,1,"T0_T17.5","c_Viruses","VP",1482270.00384569,25939725.0672996,568947.633506684,0.772404066634441,"LM_SR","3"
"NJ2020",2,1,"T0_T20.5","c_Viruses","VP",2256072.87881404,46249494.0156878,585383.395964521,0.831964642427619,"LM_SR","3"
"NJ2020",2,1,"T0_T24","c_Viruses","VP",3017446.67408218,72418720.1779724,660307.563161991,0.839245745558802,"LM_SR","3"
"NJ2020",3,1,"T0_T3","c_Viruses","VP",753944.562899768,2261833.6886993,NA,1,"LM_SR","1"
"NJ2020",3,1,"T0_T6","c_Viruses","VP",192537.313432833,1155223.880597,324128.626604741,0.260821932939806,"LM_SR","1"
"NJ2020",3,1,"T0_T9","c_Viruses","VP",155906.18336887,1403155.65031983,146489.430381591,0.361572658154996,"LM_SR","1"
"NJ2020",3,1,"T0_T12","c_Viruses","VP",-105424.30703625,-1265091.684435,172967.028099677,0.110187450588868,"LM_SR","1"
"NJ2020",3,1,"T0_T24","c_Viruses","VP",520302.771855012,12487266.5245203,195543.891296274,0.63898413143067,"LM_SR","1"
"NJ2020",3,1,"T0_T3","c_Viruses","VP",605373.134328333,1816119.402985,NA,1,"LM_SR","2"
"NJ2020",3,1,"T0_T6","c_Viruses","VP",159872.068230265,959232.409381589,257210.160435983,0.27867588903913,"LM_SR","2"
"NJ2020",3,1,"T0_T9","c_Viruses","VP",-214396.58848615,-1929569.29637535,244793.291969105,0.277214596235684,"LM_SR","2"
"NJ2020",3,1,"T0_T12","c_Viruses","VP",-431565.031982943,-5178780.38379532,188931.988330802,0.634935630616729,"LM_SR","2"
"NJ2020",3,1,"T0_T24","c_Viruses","VP",303997.867803838,7295948.82729212,227553.50946273,0.308525063901214,"LM_SR","2"
"NJ2020",3,1,"T0_T3","c_Viruses","VP",192409.381663098,577228.144989295,NA,1,"LM_SR","3"
"NJ2020",3,1,"T0_T6","c_Viruses","VP",-768230.277185501,-4609381.66311301,554625.565630469,0.657369261084656,"LM_SR","3"
"NJ2020",3,1,"T0_T9","c_Viruses","VP",-478413.64605544,-4305722.81449896,299198.590967119,0.561090556398532,"LM_SR","3"
"NJ2020",3,1,"T0_T12","c_Viruses","VP",-403829.42430704,-4845953.09168448,178028.652160754,0.631692338934722,"LM_SR","3"
"NJ2020",3,1,"T0_T24","c_Viruses","VP",260302.771855009,6247266.52452022,206636.46140967,0.28403669292604,"LM_SR","3"
"NJ2020",4,1,"T0_T3","c_Viruses","VP",121108.742004266,363326.226012798,NA,1,"LM_SR","1"
"NJ2020",4,1,"T0_T6","c_Viruses","VP",3026012.79317697,18156076.7590618,1677147.13591459,0.76500232509391,"LM_SR","1"
"NJ2020",4,1,"T0_T9","c_Viruses","VP",2226140.7249467,20035266.5245203,880811.904786124,0.761553255724784,"LM_SR","1"
"NJ2020",4,1,"T0_T12","c_Viruses","VP",1788869.93603412,21466439.2324094,567754.452338095,0.767935148555676,"LM_SR","1"
"NJ2020",4,1,"T0_T24","c_Viruses","VP",831332.62260128,19951982.9424307,369927.270155124,0.55802557242877,"LM_SR","1"
"NJ2020",4,1,"T0_T3","c_Viruses","VP",672921.108742001,2018763.326226,NA,1,"LM_SR","2"
"NJ2020",4,1,"T0_T6","c_Viruses","VP",3109381.663113,18656289.978678,1406691.156936,0.830104389358414,"LM_SR","2"
"NJ2020",4,1,"T0_T9","c_Viruses","VP",2193773.98720682,19743965.8848614,821706.643269458,0.780887049354753,"LM_SR","2"
"NJ2020",4,1,"T0_T12","c_Viruses","VP",1610191.89765459,19322302.771855,581884.829051051,0.718505391651069,"LM_SR","2"
"NJ2020",4,1,"T0_T24","c_Viruses","VP",1033134.32835821,24795223.880597,302051.711275256,0.745207681441279,"LM_SR","2"
"NJ2020",4,1,"T0_T3","c_Viruses","VP",475906.183368867,1427718.5501066,NA,1,"LM_SR","3"
"NJ2020",4,1,"T0_T6","c_Viruses","VP",3083582.08955225,18501492.5373135,1505542.38639428,0.807504745249998,"LM_SR","3"
"NJ2020",4,1,"T0_T9","c_Viruses","VP",2842473.34754798,25582260.1279319,687538.641776772,0.895245310973249,"LM_SR","3"
"NJ2020",4,1,"T0_T12","c_Viruses","VP",1996076.75906184,23952921.1087421,629575.668985926,0.770152665070074,"LM_SR","3"
"NJ2020",4,1,"T0_T24","c_Viruses","VP",808880.597014926,19413134.3283582,437917.149116307,0.460320811277659,"LM_SR","3"
"NJ2020",5,1,"T0_T3","c_Viruses","VP",333475.479744136,1000426.43923241,NA,1,"LM_SR","1"
"NJ2020",5,1,"T0_T6","c_Viruses","VP",1202238.80597015,7213432.8358209,501580.740258666,0.851744865182895,"LM_SR","1"
"NJ2020",5,1,"T0_T9","c_Viruses","VP",224434.968017057,2019914.71215351,607467.499518797,0.0638898556587977,"LM_SR","1"
"NJ2020",5,1,"T0_T12","c_Viruses","VP",151876.332622601,1822515.99147121,353214.53279932,0.0580509376031513,"LM_SR","1"
"NJ2020",5,1,"T0_T24","c_Viruses","VP",95058.635394456,2281407.24946694,153823.326586258,0.087151976519033,"LM_SR","1"
"NJ2020",5,1,"T0_T3","c_Viruses","VP",478464.8187633,1435394.4562899,NA,1,"LM_SR","2"
"NJ2020",5,1,"T0_T6","c_Viruses","VP",79211.0874200307,475266.524520184,230509.249265997,0.105613725810787,"LM_SR","2"
"NJ2020",5,1,"T0_T9","c_Viruses","VP",-208102.345415784,-1872921.10874205,195302.941679677,0.362116201706033,"LM_SR","2"
"NJ2020",5,1,"T0_T12","c_Viruses","VP",116140.72494669,1393688.69936028,218538.17950709,0.0860436134364886,"LM_SR","2"
"NJ2020",5,1,"T0_T24","c_Viruses","VP",-22702.5586353953,-544861.407249487,102767.968086676,0.0120533446930831,"LM_SR","2"
"NJ2020",5,1,"T0_T3","c_Viruses","VP",-218763.326225998,-656289.978677993,NA,1,"LM_SR","3"
"NJ2020",5,1,"T0_T6","c_Viruses","VP",-664072.494669501,-3984434.96801701,257099.368273462,0.869648825450999,"LM_SR","3"
"NJ2020",5,1,"T0_T9","c_Viruses","VP",-212579.957356069,-1913219.61620462,284900.896424053,0.217755652679627,"LM_SR","3"
"NJ2020",5,1,"T0_T12","c_Viruses","VP",-13539.4456289962,-162473.347547954,200653.636973271,0.00151540183431897,"LM_SR","3"
"NJ2020",5,1,"T0_T24","c_Viruses","VP",23107.6759061824,554584.221748378,87527.2557957746,0.017126303346629,"LM_SR","3"
"NJ2020",6,1,"T0_T3","c_Viruses","VP",205543.710021335,616631.130064006,NA,1,"LM_SR","1"
"NJ2020",6,1,"T0_T6","c_Viruses","VP",-813432.8358209,-4880597.0149254,588306.383039929,0.656566611203265,"LM_SR","1"
"NJ2020",6,1,"T0_T9","c_Viruses","VP",-1921961.62046908,-17297654.5842218,691977.530123845,0.794121305351037,"LM_SR","1"
"NJ2020",6,1,"T0_T12","c_Viruses","VP",-836289.978678037,-10035479.7441364,743306.983685199,0.29673804340061,"LM_SR","1"
"NJ2020",6,1,"T0_T24","c_Viruses","VP",-100191.897654586,-2404605.54371007,385678.757395709,0.0165915781891016,"LM_SR","1"
"NJ2020",6,1,"T0_T3","c_Viruses","VP",241364.605543703,724093.816631108,NA,1,"LM_SR","2"
"NJ2020",6,1,"T0_T6","c_Viruses","VP",-260767.590618335,-1564605.54371001,289906.158622927,0.447233348602629,"LM_SR","2"
"NJ2020",6,1,"T0_T9","c_Viruses","VP",-251044.776119396,-2259402.98507456,129771.442166966,0.651710386826926,"LM_SR","2"
"NJ2020",6,1,"T0_T12","c_Viruses","VP",-244434.968017056,-2933219.61620468,75020.7010658699,0.779672368791001,"LM_SR","2"
"NJ2020",6,1,"T0_T24","c_Viruses","VP",-81599.1471215354,-1958379.53091685,57139.2612691801,0.337682335742013,"LM_SR","2"
"NJ2020",6,1,"T0_T3","c_Viruses","VP",-959061.833688696,-2877185.50106609,NA,1,"LM_SR","3"
"NJ2020",6,1,"T0_T6","c_Viruses","VP",-178464.818763316,-1070788.9125799,450677.896695788,0.135553526340636,"LM_SR","3"
"NJ2020",6,1,"T0_T9","c_Viruses","VP",-470703.624733473,-4236332.62260126,262849.677989116,0.61589144473248,"LM_SR","3"
"NJ2020",6,1,"T0_T12","c_Viruses","VP",-396972.28144989,-4763667.37739868,157613.730579312,0.678922844200607,"LM_SR","3"
"NJ2020",6,1,"T0_T24","c_Viruses","VP",-222057.569296374,-5329381.66311298,84896.9250909523,0.631045171921734,"LM_SR","3"
"NJ2020",7,1,"T0_T3","c_Viruses","VP",403155.65031983,1209466.95095949,NA,1,"LM_SR","1"
"NJ2020",7,1,"T0_T6","c_Viruses","VP",293176.97228145,1759061.8336887,63496.2193705779,0.955194843968245,"LM_SR","1"
"NJ2020",7,1,"T0_T9","c_Viruses","VP",-118925.373134328,-1070328.35820895,239615.946201276,0.109658934473132,"LM_SR","1"
"NJ2020",7,1,"T0_T12","c_Viruses","VP",-98805.9701492532,-1185671.64179104,138829.142054072,0.144453326187354,"LM_SR","1"
"NJ2020",7,1,"T0_T24","c_Viruses","VP",-80460.5543710022,-1931053.30490405,60347.6030440063,0.307676866204731,"LM_SR","1"
"NJ2020",7,1,"T0_T3","c_Viruses","VP",240938.1663113,722814.4989339,NA,1,"LM_SR","2"
"NJ2020",7,1,"T0_T6","c_Viruses","VP",-59573.560767592,-357441.364605552,173500.526523637,0.105463806238011,"LM_SR","2"
"NJ2020",7,1,"T0_T9","c_Viruses","VP",-162558.635394456,-1463027.71855011,97753.7471034377,0.580305420239802,"LM_SR","2"
"NJ2020",7,1,"T0_T12","c_Viruses","VP",-64076.759061834,-768921.108742008,80113.4092786735,0.17576101254581,"LM_SR","2"
"NJ2020",7,1,"T0_T24","c_Viruses","VP",-50765.4584221748,-1218371.0021322,34902.3005495184,0.345932359256347,"LM_SR","2"
"NJ2020",7,1,"T0_T3","c_Viruses","VP",-242985.074626866,-728955.223880599,NA,1,"LM_SR","3"
"NJ2020",7,1,"T0_T6","c_Viruses","VP",-170234.541577825,-1021407.24946695,42002.5398395532,0.942616034487366,"LM_SR","3"
"NJ2020",7,1,"T0_T9","c_Viruses","VP",-166746.268656716,-1500716.41791045,18891.7624001934,0.97497038773237,"LM_SR","3"
"NJ2020",7,1,"T0_T12","c_Viruses","VP",-39582.0895522387,-474985.074626864,74224.0462696132,0.086587259157327,"LM_SR","3"
"NJ2020",7,1,"T0_T24","c_Viruses","VP",-12434.9680170575,-298439.232409379,33081.5741237622,0.0341178124884446,"LM_SR","3"
"NJ2020",1,1,"T0_T3","c_Viruses","VP",0,0,NA,NA,"VPCL_SR","1"
